BEGIN,28270,1
3,0.86,-0.16,0.10,8.85,-28.93,27.71
18,0.89,-0.10,0.14,20.51,-32.65,18.55
33,0.91,-0.14,0.13,24.11,-21.61,7.93
48,0.92,-0.17,0.15,19.53,-23.50,-14.22
64,0.96,-0.20,0.17,6.96,-27.59,-2.08
79,0.97,-0.20,0.14,1.83,-27.89,2.38
94,0.99,-0.20,0.16,9.34,-22.34,10.13
109,0.99,-0.18,0.21,20.45,-14.47,14.22
124,1.00,-0.16,0.24,23.99,-9.40,14.22
139,1.02,-0.14,0.31,22.46,-5.80,13.31
154,1.03,-0.09,0.36,12.33,-8.67,7.87
170,1.05,-0.02,0.41,2.32,-10.68,5.74
185,1.04,0.00,0.43,-0.73,-12.82,6.35
200,1.05,0.03,0.52,0.00,-13.06,6.90
215,1.04,0.05,0.64,-1.28,-11.72,8.30
230,1.02,0.09,0.73,-6.96,-4.33,9.09
245,1.01,0.12,0.79,-15.38,6.96,6.10
260,0.97,0.14,0.81,-20.02,11.66,3.91
275,0.92,0.15,0.85,-32.65,18.74,-1.89
290,0.85,0.17,0.88,-45.53,23.68,-9.40
305,0.80,0.21,0.92,-55.42,28.20,-22.64
320,0.77,0.22,0.93,-61.58,32.23,-29.97
335,0.68,0.21,0.92,-77.21,41.81,-49.62
350,0.65,0.13,0.90,-92.53,56.70,-74.77
365,0.57,0.04,0.79,-106.38,83.74,-93.57
380,0.72,-0.10,0.91,-110.29,98.33,-98.02
396,0.63,-0.13,0.60,-115.66,124.33,-108.34
412,0.58,-0.21,0.38,-112.79,131.23,-100.04
428,0.44,-0.36,0.10,-113.04,132.32,-88.75
443,0.52,-0.54,-0.18,-99.49,143.86,-102.60
459,0.59,-0.76,-0.45,-79.83,162.78,-112.98
474,0.73,-0.94,-0.48,-72.14,165.71,-105.96
489,0.81,-1.05,-0.59,-68.36,138.98,-70.98
505,0.75,-0.98,-0.68,-68.12,98.69,-30.52
520,0.69,-0.94,-0.68,-63.35,77.70,-19.65
535,0.73,-0.97,-0.68,-59.63,65.80,-30.76
550,0.79,-1.01,-0.71,-59.27,59.81,-34.61
565,0.85,-1.05,-0.74,-54.44,43.88,-29.17
580,0.89,-1.00,-0.68,-46.08,20.26,-8.42
595,0.84,-0.87,-0.62,-36.32,4.21,10.99
610,0.81,-0.85,-0.58,-31.07,0.12,16.17
625,0.80,-0.75,-0.54,-25.63,-5.80,16.24
640,0.79,-0.69,-0.52,-24.17,-4.94,17.94
655,0.77,-0.68,-0.56,-24.60,-5.49,18.43
670,0.75,-0.69,-0.56,-20.02,-4.21,19.23
EXIT,45
BEGIN,29504,2
3,0.96,-0.06,0.35,-3.36,-2.69,2.75
18,0.95,-0.03,0.27,12.51,5.92,-6.41
33,0.98,-0.05,0.29,17.40,19.23,-4.70
49,1.00,-0.08,0.29,24.96,19.96,-1.71
64,0.96,-0.11,0.31,18.25,8.85,7.51
79,0.92,-0.13,0.35,8.48,-1.34,5.25
94,0.91,-0.11,0.41,-3.23,-5.74,0.12
109,0.90,-0.12,0.44,-7.39,-6.10,-1.22
124,0.89,-0.13,0.49,-12.02,-6.29,-4.52
139,0.92,-0.14,0.59,-13.55,-1.46,-6.41
154,0.90,-0.15,0.73,-16.42,-2.44,-3.23
169,0.90,-0.14,0.80,-21.06,-3.30,-2.44
184,0.87,-0.12,0.93,-34.42,-0.43,-4.64
199,0.87,-0.08,0.98,-46.88,11.54,-13.73
214,0.88,-0.07,0.99,-56.64,30.76,-23.19
229,0.89,-0.06,0.97,-64.39,38.21,-30.27
244,0.87,-0.06,0.89,-83.98,45.17,-31.80
259,0.82,-0.07,0.80,-106.75,47.55,-35.64
274,0.77,-0.10,0.70,-125.37,51.51,-41.99
289,0.76,-0.15,0.64,-140.93,65.00,-53.96
304,0.81,-0.23,0.46,-146.97,71.59,-59.88
319,0.85,-0.28,0.37,-151.98,75.44,-61.22
334,0.83,-0.31,0.33,-149.84,73.55,-50.23
349,0.79,-0.31,0.33,-139.28,71.84,-38.51
365,0.71,-0.26,0.33,-132.81,71.29,-36.87
380,0.60,-0.32,0.24,-123.54,88.32,-44.98
395,0.62,-0.45,-0.01,-121.22,117.37,-68.18
410,0.73,-0.67,-0.20,-117.25,132.39,-80.08
425,0.84,-0.81,-0.17,-114.93,127.93,-69.76
440,0.80,-0.81,-0.29,-113.04,107.60,-60.67
455,0.74,-0.82,-0.51,-101.75,95.09,-53.71
