3,0.96,-0.55,-0.35,8.73,10.99,-4.15
18,0.90,-0.55,-0.45,8.36,0.12,-1.77
33,0.87,-0.58,-0.50,11.78,1.65,2.14
48,0.89,-0.60,-0.61,17.09,1.04,1.40
63,0.86,-0.70,-0.70,28.26,-3.42,2.32
78,0.84,-0.74,-0.76,36.80,-7.51,3.97
93,0.82,-0.76,-0.78,44.37,-12.63,8.24
109,0.80,-0.80,-0.81,46.94,-17.09,10.31
124,0.78,-0.80,-0.82,47.97,-29.85,15.63
139,0.77,-0.77,-0.77,48.10,-45.84,23.01
154,0.75,-0.72,-0.68,50.17,-65.55,30.15
169,0.73,-0.69,-0.64,53.89,-73.24,33.94
184,0.71,-0.65,-0.57,64.94,-77.58,33.69
199,0.72,-0.63,-0.51,80.14,-76.54,29.60
214,0.74,-0.63,-0.44,97.11,-75.99,24.72
229,0.76,-0.63,-0.41,121.09,-73.67,21.61
244,0.76,-0.61,-0.38,124.02,-72.94,20.32
259,0.77,-0.58,-0.37,142.09,-70.74,17.27
274,0.79,-0.53,-0.33,156.74,-67.14,14.59
289,0.78,-0.50,-0.31,163.39,-69.15,13.92
304,0.82,-0.49,-0.23,161.68,-73.91,13.24
319,0.80,-0.43,-0.16,149.17,-87.65,10.74
334,0.77,-0.37,-0.04,136.23,-99.85,7.57
349,0.75,-0.31,0.10,127.08,-107.54,1.77
364,0.76,-0.30,0.15,121.58,-109.62,-1.10
379,0.80,-0.30,0.21,109.62,-108.40,-6.47
395,0.79,-0.28,0.23,103.33,-109.01,-3.72
410,0.80,-0.27,0.33,105.35,-111.39,2.69
425,0.78,-0.25,0.40,106.57,-110.35,12.27
440,0.76,-0.19,0.53,103.70,-108.40,15.44
455,0.72,-0.15,0.68,92.65,-99.00,16.60
470,0.80,-0.12,0.81,74.46,-85.51,10.31
EXIT,32
BEGIN,21774,2
3,0.92,-0.82,-0.55,-22.89,14.71,8.36
18,0.92,-0.60,-0.45,-35.83,8.61,12.15
33,0.92,-0.67,-0.59,-12.02,-8.48,28.63
49,0.88,-0.62,-0.52,-5.00,-6.84,25.94
65,0.91,-0.58,-0.48,12.02,7.39,23.13
